,ensg_id,display_name,atlas_name,function_name,UniprotID
1,ENSG00000000971,CFH,Secreted to blood,Immunity,P08603
2,ENSG00000001036,FUCA2,Secreted to blood,Enzyme,Q9BTY2
3,ENSG00000001617,SEMA3F,Secreted to blood,Developmental protein,Q13275
4,ENSG00000002587,HS3ST1,Intracellular and membrane,Enzyme,O14792
5,ENSG00000002726,AOC1,Secreted in other tissues,Enzyme,P19801
6,ENSG00000002745,WNT16,Secreted to extracellular matrix,Developmental protein,Q9UBV4
7,ENSG00000003137,CYP26B1,Intracellular and membrane,Enzyme,Q9NR63
8,ENSG00000003436,TFPI,Secreted to blood,Blood coagulation,P10646
9,ENSG00000004139,SARM1,Intracellular and membrane,Immunity,Q6SZW1
10,ENSG00000004487,KDM1A,Intracellular and membrane,Developmental protein,O60341
11,ENSG00000004776,HSPB6,Intracellular and membrane,Other,O14558
12,ENSG00000004961,HCCS,Intracellular and membrane,Enzyme,P53701
13,ENSG00000005001,PRSS22,Secreted in other tissues,Enzyme,Q9GZN4
14,ENSG00000005108,THSD7A,Secreted to blood,Developmental protein,Q9UPZ6
15,ENSG00000005381,MPO,Intracellular and membrane,Enzyme,P05164
16,ENSG00000005421,PON1,Secreted to blood,Enzyme,P27169
17,ENSG00000005810,MYCBP2,Intracellular and membrane,NULL,O75592
18,ENSG00000006016,CRLF1,Secreted in other tissues,Receptor,O75462
19,ENSG00000006042,TMEM98,Intracellular and membrane,NULL,Q9Y2Y6
20,ENSG00000006128,TAC1,Secreted to blood,Neuropeptide,P20366
21,ENSG00000006210,CX3CL1,Secreted to blood,Chemokine,P78423
22,ENSG00000006282,SPATA20,Secreted in male reproductive system,Developmental protein,Q8TB22
23,ENSG00000006432,MAP3K9,Intracellular and membrane,Transcription,P80192
24,ENSG00000006530,AGK,Intracellular and membrane,Enzyme,Q53H12
25,ENSG00000006606,CCL26,Secreted to blood,Chemokine,Q9Y258
26,ENSG00000006757,PNPLA4,Intracellular and membrane,Enzyme,P41247
27,ENSG00000007038,PRSS21,Intracellular and membrane,Enzyme,Q9Y6M0
28,ENSG00000007202,KIAA0100,Secreted to blood,No annotated function,Q14667
29,ENSG00000007306,CEACAM7,Intracellular and membrane,No annotated function,Q14002
30,ENSG00000008277,ADAM22,Intracellular and membrane,Receptor,Q9P0K1
31,ENSG00000008438,PGLYRP1,Secreted to blood,Immunity,O75594
32,ENSG00000008513,ST3GAL1,Intracellular and membrane,Enzyme,Q11201
33,ENSG00000008516,MMP25,Secreted to blood,Enzyme,Q9NPA2
34,ENSG00000008517,IL32,Secreted to blood,Interleukin,P24001
35,ENSG00000009724,MASP2,Secreted to blood,Complement pathway,O00187
36,ENSG00000009950,MLXIPL,Intracellular and membrane,Transcription,Q9NP71
37,ENSG00000010278,CD9,Intracellular and membrane,NULL,P21926
38,ENSG00000010319,SEMA3G,Secreted to blood,Developmental protein,Q9NS98
39,ENSG00000010404,IDS,Intracellular and membrane,Enzyme,P22304
40,ENSG00000010438,PRSS3,Secreted to digestive system,Enzyme,P35030
41,ENSG00000011201,ANOS1,Secreted in brain,Cell adhesion,P23352
42,ENSG00000011295,TTC19,Intracellular and membrane,Transport,Q6DKK2
43,ENSG00000011422,PLAUR,Intracellular and membrane,Receptor,Q03405
44,ENSG00000011465,DCN,Secreted to extracellular matrix,No annotated function,P07585
45,ENSG00000012171,SEMA3B,Secreted in other tissues,Developmental protein,Q13214
46,ENSG00000012223,LTF,Secreted to blood,Transport,P02788
47,ENSG00000013288,MAN2B2,Secreted to blood,Enzyme,Q9Y2E5
48,ENSG00000013523,ANGEL1,Intracellular and membrane,No annotated function,Q9UNK9
49,ENSG00000013563,DNASE1L1,Intracellular and membrane,Enzyme,P49184
50,ENSG00000013725,CD6,Secreted to blood,Immunity,P30203
51,ENSG00000014257,ACP3,Secreted to blood,Enzyme,P15309
52,ENSG00000015413,DPEP1,Intracellular and membrane,Enzyme,P16444
53,ENSG00000015479,MATR3,Intracellular and membrane,Immunity,P43243
54,ENSG00000015532,XYLT2,Secreted to blood,Enzyme,Q9H1B5
55,ENSG00000016490,CLCA1,Secreted to digestive system,Transport,A8K7I4
56,ENSG00000016602,CLCA4,Intracellular and membrane,Transport,Q14CN2
57,ENSG00000017427,IGF1,Secreted to blood,Growth factor,P05019
58,ENSG00000018236,CNTN1,Intracellular and membrane,Cell adhesion,Q12860
